dataset,model,decile,n,events,mean_predicted,observed
CHARLS repeated 5-fold CV,M1_single_assessment,1,727,82,0.10741452601107891,0.11279229711141678
CHARLS repeated 5-fold CV,M1_single_assessment,2,726,121,0.17474136907388096,0.16666666666666666
CHARLS repeated 5-fold CV,M1_single_assessment,3,726,184,0.23018450546139546,0.2534435261707989
CHARLS repeated 5-fold CV,M1_single_assessment,4,727,215,0.287375655995026,0.29573590096286106
CHARLS repeated 5-fold CV,M1_single_assessment,5,726,232,0.3454091750111656,0.31955922865013775
CHARLS repeated 5-fold CV,M1_single_assessment,6,726,292,0.4034969228933848,0.4022038567493113
CHARLS repeated 5-fold CV,M1_single_assessment,7,727,347,0.4688385190504022,0.47730398899587345
CHARLS repeated 5-fold CV,M1_single_assessment,8,726,384,0.5420019191868999,0.5289256198347108
CHARLS repeated 5-fold CV,M1_single_assessment,9,726,460,0.6318061668137958,0.6336088154269972
CHARLS repeated 5-fold CV,M1_single_assessment,10,727,569,0.78167059196152,0.782668500687758
CHARLS repeated 5-fold CV,M2_repeat_assessment,1,727,58,0.08443119349979188,0.07977991746905089
CHARLS repeated 5-fold CV,M2_repeat_assessment,2,726,117,0.15500294959883115,0.16115702479338842
CHARLS repeated 5-fold CV,M2_repeat_assessment,3,726,164,0.2158089106927136,0.22589531680440772
CHARLS repeated 5-fold CV,M2_repeat_assessment,4,727,203,0.2745801884337973,0.2792297111416781
CHARLS repeated 5-fold CV,M2_repeat_assessment,5,726,243,0.33624013559226845,0.3347107438016529
CHARLS repeated 5-fold CV,M2_repeat_assessment,6,726,287,0.40053933123700525,0.3953168044077135
CHARLS repeated 5-fold CV,M2_repeat_assessment,7,727,332,0.47313400367982494,0.45667125171939477
CHARLS repeated 5-fold CV,M2_repeat_assessment,8,726,422,0.5586760105350109,0.581267217630854
CHARLS repeated 5-fold CV,M2_repeat_assessment,9,726,469,0.6605006163387831,0.6460055096418733
CHARLS repeated 5-fold CV,M2_repeat_assessment,10,727,591,0.8147444713426844,0.81292984869326
HRS external validation,M1_single_assessment,1,1312,101,0.16230270328887092,0.07698170731707317
HRS external validation,M1_single_assessment,2,1315,189,0.2677906228177953,0.14372623574144486
HRS external validation,M1_single_assessment,3,1318,250,0.34413190936178756,0.18968133535660092
HRS external validation,M1_single_assessment,4,1305,329,0.4117763381282272,0.25210727969348656
HRS external validation,M1_single_assessment,5,1321,389,0.47505920978178934,0.29447388342165026
HRS external validation,M1_single_assessment,6,1303,437,0.5347638312976801,0.3353798925556408
HRS external validation,M1_single_assessment,7,1309,557,0.5935426022558914,0.4255156608097785
HRS external validation,M1_single_assessment,8,1311,594,0.6588438479343208,0.45308924485125857
HRS external validation,M1_single_assessment,9,1325,737,0.7357955028913344,0.5562264150943397
HRS external validation,M1_single_assessment,10,1299,946,0.8474698379416077,0.7282525019245574
HRS external validation,M2_repeat_assessment,1,1312,65,0.11992325310737534,0.04954268292682927
HRS external validation,M2_repeat_assessment,2,1312,144,0.21828445249204187,0.10975609756097561
HRS external validation,M2_repeat_assessment,3,1312,215,0.29048459232352347,0.1638719512195122
HRS external validation,M2_repeat_assessment,4,1311,309,0.359152374880771,0.23569794050343248
HRS external validation,M2_repeat_assessment,5,1315,366,0.4231349244488564,0.2783269961977186
HRS external validation,M2_repeat_assessment,6,1310,449,0.4883520265020078,0.3427480916030534
HRS external validation,M2_repeat_assessment,7,1310,514,0.5547147010469944,0.39236641221374047
HRS external validation,M2_repeat_assessment,8,1312,651,0.6268704651834001,0.4961890243902439
HRS external validation,M2_repeat_assessment,9,1313,784,0.711750164811835,0.597105864432597
HRS external validation,M2_repeat_assessment,10,1311,1032,0.8426663158471899,0.7871853546910755
HRS external validation,M2_recalibrated,1,1312,65,0.05421293170545429,0.04954268292682927
HRS external validation,M2_recalibrated,2,1312,141,0.11259042662637614,0.10746951219512195
HRS external validation,M2_recalibrated,3,1312,218,0.16379271163106765,0.16615853658536586
HRS external validation,M2_recalibrated,4,1311,311,0.21868104123469975,0.2372234935163997
HRS external validation,M2_recalibrated,5,1313,366,0.27531949977938414,0.27875095201827876
HRS external validation,M2_recalibrated,6,1312,445,0.33883382199762496,0.3391768292682927
HRS external validation,M2_recalibrated,7,1310,518,0.40962129414252707,0.39541984732824426
HRS external validation,M2_recalibrated,8,1312,648,0.4937079201105113,0.49390243902439024
HRS external validation,M2_recalibrated,9,1312,784,0.6017063680118305,0.5975609756097561
HRS external validation,M2_recalibrated,10,1312,1033,0.7845869219581408,0.7873475609756098
