cohort,horizon,age_min,stage,n,percent_of_previous
CHARLS,primary_2011_2013_to_2015,50,all_persons,25586,
CHARLS,primary_2011_2013_to_2015,50,age_known,17533,68.52575627296177
CHARLS,primary_2011_2013_to_2015,50,age_ge_50,13466,76.8037415159984
CHARLS,primary_2011_2013_to_2015,50,first_assessment_complete,10632,78.95440368335066
CHARLS,primary_2011_2013_to_2015,50,second_assessment_complete,8359,78.62114371708051
CHARLS,primary_2011_2013_to_2015,50,outcome_assessment_complete,7264,86.90034693145112
CHARLS,longterm_2011_2013_to_2018,50,all_persons,25586,
CHARLS,longterm_2011_2013_to_2018,50,age_known,17533,68.52575627296177
CHARLS,longterm_2011_2013_to_2018,50,age_ge_50,13466,76.8037415159984
CHARLS,longterm_2011_2013_to_2018,50,first_assessment_complete,10632,78.95440368335066
CHARLS,longterm_2011_2013_to_2018,50,second_assessment_complete,8359,78.62114371708051
CHARLS,longterm_2011_2013_to_2018,50,outcome_assessment_complete,5779,69.13506400287116
HRS,primary_2012_2014_to_2016,50,all_persons,45234,
HRS,primary_2012_2014_to_2016,50,age_known,20554,45.43927134456382
HRS,primary_2012_2014_to_2016,50,age_ge_50,19866,96.65271966527196
HRS,primary_2012_2014_to_2016,50,first_assessment_complete,18129,91.25641800060404
HRS,primary_2012_2014_to_2016,50,second_assessment_complete,15587,85.97826686524353
HRS,primary_2012_2014_to_2016,50,outcome_assessment_complete,13118,84.15987682042729
HRS,longterm_2012_2014_to_2018,50,all_persons,45234,
HRS,longterm_2012_2014_to_2018,50,age_known,20554,45.43927134456382
HRS,longterm_2012_2014_to_2018,50,age_ge_50,19866,96.65271966527196
HRS,longterm_2012_2014_to_2018,50,first_assessment_complete,18129,91.25641800060404
HRS,longterm_2012_2014_to_2018,50,second_assessment_complete,15587,85.97826686524353
HRS,longterm_2012_2014_to_2018,50,outcome_assessment_complete,10992,70.52030538269071
CHARLS,primary_2011_2013_to_2015,65,all_persons,25586,
CHARLS,primary_2011_2013_to_2015,65,age_known,17533,68.52575627296177
CHARLS,primary_2011_2013_to_2015,65,age_ge_65,4513,25.740033080476817
CHARLS,primary_2011_2013_to_2015,65,first_assessment_complete,3347,74.16352758697097
CHARLS,primary_2011_2013_to_2015,65,second_assessment_complete,2431,72.6322079474156
CHARLS,primary_2011_2013_to_2015,65,outcome_assessment_complete,1984,81.61250514191691
CHARLS,longterm_2011_2013_to_2018,65,all_persons,25586,
CHARLS,longterm_2011_2013_to_2018,65,age_known,17533,68.52575627296177
CHARLS,longterm_2011_2013_to_2018,65,age_ge_65,4513,25.740033080476817
CHARLS,longterm_2011_2013_to_2018,65,first_assessment_complete,3347,74.16352758697097
CHARLS,longterm_2011_2013_to_2018,65,second_assessment_complete,2431,72.6322079474156
CHARLS,longterm_2011_2013_to_2018,65,outcome_assessment_complete,1326,54.54545454545455
HRS,primary_2012_2014_to_2016,65,all_persons,45234,
HRS,primary_2012_2014_to_2016,65,age_known,20554,45.43927134456382
HRS,primary_2012_2014_to_2016,65,age_ge_65,10748,52.2915247640362
HRS,primary_2012_2014_to_2016,65,first_assessment_complete,9397,87.43021957573502
HRS,primary_2012_2014_to_2016,65,second_assessment_complete,7799,82.99457273597957
HRS,primary_2012_2014_to_2016,65,outcome_assessment_complete,6229,79.8692140017951
HRS,longterm_2012_2014_to_2018,65,all_persons,45234,
HRS,longterm_2012_2014_to_2018,65,age_known,20554,45.43927134456382
HRS,longterm_2012_2014_to_2018,65,age_ge_65,10748,52.2915247640362
HRS,longterm_2012_2014_to_2018,65,first_assessment_complete,9397,87.43021957573502
HRS,longterm_2012_2014_to_2018,65,second_assessment_complete,7799,82.99457273597957
HRS,longterm_2012_2014_to_2018,65,outcome_assessment_complete,5060,64.88011283497885
